[DBG-MEM]: n allocs: 629, alloc size: 8644, non used memory by user: 312408, non used memory by user percetnage: 0.450431, elapsed time: 0.000000, freeded chunks percentage: 18.556701, non freeded chunks percetnage: 81.443299
[DBG-MEM]: n allocs: 577, alloc size: 7442, non used memory by user: 298768, non used memory by user percetnage: 0.432015, elapsed time: 0.004000, freeded chunks percentage: 14.525140, non freeded chunks percetnage: 85.474860
[DBG-MEM]: n allocs: 372, alloc size: 7444, non used memory by user: 187928, non used memory by user percetnage: 0.274063, elapsed time: 0.000000, freeded chunks percentage: 20.000000, non freeded chunks percetnage: 80.000000
[DBG-MEM]: n allocs: 623, alloc size: 5847, non used memory by user: 319392, non used memory by user percetnage: 0.463099, elapsed time: 0.000000, freeded chunks percentage: 25.603865, non freeded chunks percetnage: 74.396135
[DBG-MEM]: n allocs: 362, alloc size: 5011, non used memory by user: 134184, non used memory by user percetnage: 0.196425, elapsed time: 0.004001, freeded chunks percentage: 30.039526, non freeded chunks percetnage: 69.960474
[DBG-MEM]: n allocs: 388, alloc size: 7342, non used memory by user: 219008, non used memory by user percetnage: 0.318703, elapsed time: 0.000000, freeded chunks percentage: 19.607843, non freeded chunks percetnage: 80.392157
[DBG-MEM]: n allocs: 741, alloc size: 10169, non used memory by user: 504488, non used memory by user percetnage: 0.719091, elapsed time: 0.000000, freeded chunks percentage: 17.111111, non freeded chunks percetnage: 82.888889
[DBG-MEM]: n allocs: 662, alloc size: 6719, non used memory by user: 373136, non used memory by user percetnage: 0.539486, elapsed time: 0.000000, freeded chunks percentage: 24.537037, non freeded chunks percetnage: 75.462963
[DBG-MEM]: n allocs: 688, alloc size: 8256, non used memory by user: 365448, non used memory by user percetnage: 0.525260, elapsed time: 0.000000, freeded chunks percentage: 19.450801, non freeded chunks percetnage: 80.549199
[DBG-MEM]: n allocs: 819, alloc size: 10803, non used memory by user: 499320, non used memory by user percetnage: 0.710108, elapsed time: 0.004007, freeded chunks percentage: 16.702355, non freeded chunks percetnage: 83.297645
[DBG-MEM]: n allocs: 766, alloc size: 5931, non used memory by user: 371560, non used memory by user percetnage: 0.537080, elapsed time: 0.003987, freeded chunks percentage: 27.184466, non freeded chunks percetnage: 72.815534
[DBG-MEM]: n allocs: 670, alloc size: 7573, non used memory by user: 343728, non used memory by user percetnage: 0.496321, elapsed time: 0.000000, freeded chunks percentage: 20.681265, non freeded chunks percetnage: 79.318735
[DBG-MEM]: n allocs: 710, alloc size: 9899, non used memory by user: 473904, non used memory by user percetnage: 0.677634, elapsed time: 0.000000, freeded chunks percentage: 15.402844, non freeded chunks percetnage: 84.597156
[DBG-MEM]: n allocs: 849, alloc size: 10798, non used memory by user: 663576, non used memory by user percetnage: 0.937751, elapsed time: 0.004001, freeded chunks percentage: 19.449902, non freeded chunks percetnage: 80.550098
[DBG-MEM]: n allocs: 596, alloc size: 6586, non used memory by user: 362456, non used memory by user percetnage: 0.525102, elapsed time: 0.003999, freeded chunks percentage: 24.795640, non freeded chunks percetnage: 75.204360
[DBG-MEM]: n allocs: 722, alloc size: 9425, non used memory by user: 481216, non used memory by user percetnage: 0.688775, elapsed time: 0.003999, freeded chunks percentage: 16.389549, non freeded chunks percetnage: 83.610451
[DBG-MEM]: n allocs: 872, alloc size: 6796, non used memory by user: 474112, non used memory by user percetnage: 0.681163, elapsed time: 0.000000, freeded chunks percentage: 23.362832, non freeded chunks percetnage: 76.637168
